"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","noise_sd","n_pos","rep_id","sweep"
"WGCNA",0.425133689839572,0.205653452452627,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.430000000000064,"ok",0.03,30,9,"noise"
"GENIE3",0.65307486631016,0.304680794988809,0.272727272727273,0.235294117647059,0.0374331550802139,0.727272727272727,NA,0.179999999999836,"ok",0.03,30,9,"noise"
"idopNetwork",0.68655303030303,0.416561096774949,0.416666666666667,0.159090909090909,0.257575757575758,0.583333333333333,0.777777777777778,76.8099999999999,"ok",0.03,30,10,"noise"
"WGCNA",0.429144385026738,0.205327403513309,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.440000000000055,"ok",0.03,30,10,"noise"
"GENIE3",0.6524064171123,0.320371984233783,0.363636363636364,0.205882352941176,0.157754010695187,0.681818181818182,NA,0.179999999999836,"ok",0.03,30,10,"noise"
"idopNetwork",0.66951871657754,0.427579122276267,0.470588235294118,0.163636363636364,0.306951871657754,0.588235294117647,0.8,89.5800000000002,"ok",0.03,30,11,"noise"
"WGCNA",0.475935828877005,0.263775119949788,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.449999999999818,"ok",0.03,30,11,"noise"
"GENIE3",0.641042780748663,0.42152239350985,0.363636363636364,0.205882352941176,0.157754010695187,0.5,NA,0.170000000000073,"ok",0.03,30,11,"noise"
"idopNetwork",0.799242424242424,0.4770198957698,0.5,0.136363636363636,0.363636363636364,0.833333333333333,0.545454545454545,53.98,"ok",0.03,30,12,"noise"
"WGCNA",0.457219251336898,0.222254489088321,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.460000000000036,"ok",0.03,30,12,"noise"
"GENIE3",0.578208556149733,0.330721516943232,0.136363636363636,0.279411764705882,-0.143048128342246,0.5,NA,0.200000000000045,"ok",0.03,30,12,"noise"
"idopNetwork",0.566310160427808,0.270372979434102,0.352941176470588,0.2,0.152941176470588,0.470588235294118,0.6,115.86,"ok",0.03,30,13,"noise"
"WGCNA",0.414438502673797,0.202892763920121,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.519999999999982,"ok",0.03,30,13,"noise"
