"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","rep_id","scenario"
"WGCNA",0.45855614973262,0.248309315752961,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.329999999999927,"ok",26,"LV"
"GENIE3",0.672459893048128,0.359381140270174,0.272727272727273,0.235294117647059,0.0374331550802139,0.590909090909091,NA,0.139999999999873,"ok",26,"LV"
"idopNetwork",NA,NA,NA,0,NA,NA,NA,24.1700000000001,"ok",26,"VAR1"
"WGCNA",0.564171122994652,0.279003269677094,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.350000000000136,"ok",26,"VAR1"
"GENIE3",0.52807486631016,0.25222182940228,0.318181818181818,0.220588235294118,0.0975935828877005,0.545454545454545,NA,0.1099999999999,"ok",26,"VAR1"
"idopNetwork",0.604166666666667,0.35492341231173,0.333333333333333,0.181818181818182,0.151515151515152,0.416666666666667,0.5,48.7,"ok",27,"LV"
"WGCNA",0.526737967914438,0.330690450005659,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.329999999999927,"ok",27,"LV"
"GENIE3",0.625,0.321438187768014,0.318181818181818,0.220588235294118,0.0975935828877005,0.545454545454545,NA,0.1400000000001,"ok",27,"LV"
"idopNetwork",0.513333333333333,0.241055652421405,0.2,0.266666666666667,-0.0666666666666667,0.2,1,9.29999999999995,"ok",27,"VAR1"
"WGCNA",0.601604278074866,0.315829327801248,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.329999999999927,"ok",27,"VAR1"
"GENIE3",0.40307486631016,0.192169086446637,0.136363636363636,0.279411764705882,-0.143048128342246,0.5,NA,0.110000000000127,"ok",27,"VAR1"
"idopNetwork",0.587121212121212,0.245985577629077,0.333333333333333,0.181818181818182,0.151515151515152,0.416666666666667,0.333333333333333,26.1799999999998,"ok",28,"LV"
"WGCNA",0.451871657754011,0.248764703060579,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.350000000000136,"ok",28,"LV"
"GENIE3",0.640374331550802,0.305867488622637,0.363636363636364,0.205882352941176,0.157754010695187,0.727272727272727,NA,0.139999999999873,"ok",28,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",28,"VAR1"
"WGCNA",0.580213903743315,0.269163589219856,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.339999999999918,"ok",28,"VAR1"
"GENIE3",0.508689839572192,0.25152192718718,0.272727272727273,0.235294117647059,0.0374331550802139,0.409090909090909,NA,0.0899999999999181,"ok",28,"VAR1"
"idopNetwork",0.711174242424242,0.358481701873978,0.416666666666667,0.159090909090909,0.257575757575758,0.75,0.333333333333333,65.3600000000001,"ok",29,"LV"
"WGCNA",0.461229946524064,0.234419606324628,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.329999999999927,"ok",29,"LV"
"GENIE3",0.657754010695187,0.396549885953611,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.1400000000001,"ok",29,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",29,"VAR1"
"WGCNA",0.533422459893048,0.305466826836215,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.329999999999927,"ok",29,"VAR1"
"GENIE3",0.394385026737968,0.202500892223806,0.227272727272727,0.25,-0.0227272727272727,0.363636363636364,NA,0.110000000000127,"ok",29,"VAR1"
"idopNetwork",0.756628787878788,0.439983998640466,0.333333333333333,0.181818181818182,0.151515151515152,0.75,0.272727272727273,75.4199999999998,"ok",30,"LV"
"WGCNA",0.459893048128342,0.303856443139868,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.340000000000146,"ok",30,"LV"
"GENIE3",0.657754010695187,0.325339085246516,0.363636363636364,0.205882352941176,0.157754010695187,0.681818181818182,NA,0.139999999999873,"ok",30,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: data_cleaning 后物种数不足（< 3）",30,"VAR1"
"WGCNA",0.550802139037433,0.255825504856798,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.330000000000155,"ok",30,"VAR1"
"GENIE3",0.47192513368984,0.225939184317882,0.227272727272727,0.25,-0.0227272727272727,0.5,NA,0.1099999999999,"ok",30,"VAR1"
